Name,Year,Rec,Yards,TD,Team Rec,Team Attempts,Team Yard,Team TD,MSREC,MSYD,MSTD,YPC,YDPTA,TDPTA,Rush Attempts,Rush Yards,Rush TD,P Ret,P Yds,P TD,K Ret,K Yds,K TD,BO Age,Age,Draft Pick,Height,Weight,40 time,Vert,Broad,3 cone,Shuttle,Adj CarAV
Jarett Dillard,2009,87,1310,20,338,513,4241,47,0.25739645,0.308889413,0.425531915,15.05747126,2.553606238,0.038986355,3,-2,0,0,0,0,1,33,0,20,23,144,70,191,4.57,42.5,129,7.1,4.41,1.50
Kyle Williams,2010,57,815,8,224,417,2550,16,0.254464286,0.319607843,0.5,14.29824561,1.954436451,0.019184652,17,130,0,74,768,0,31,709,0,21,21,206,70,188,4.43,33,118,7,4.19,1.50
David Gettis,2010,52,675,3,267,431,2908,13,0.194756554,0.232118294,0.230769231,12.98076923,1.56612529,0.006960557,0,0,0,0,0,0,41,932,1,22,22,198,75,217,4.51,34.5,124,6.94,4.41,1.50
Keshawn Martin,2012,66,777,4,288,448,3535,26,0.229166667,0.21980198,0.153846154,11.77272727,1.734375,0.008928571,64,540,3,65,659,2,47,1100,1,21,21,121,71,188,4.45,39.5,122,6.85,4.13,1.40
David Anderson,2006,86,1221,8,248,398,3436,25,0.346774194,0.355355064,0.32,14.19767442,3.067839196,0.020100503,4,18,0,25,118,0,15,220,0,20,22,251,70,192,4.62,34,116,6.88,4.2,1.33
Dezmon Briscoe,2010,84,1337,9,320,505,3724,22,0.2625,0.359022556,0.409090909,15.91666667,2.647524752,0.017821782,4,37,1,0,0,0,27,651,1,19,20,191,74,207,4.71,33,115,7.1,4.57,1.33
Jonathan Baldwin,2011,53,822,5,230,357,2616,16,0.230434783,0.314220183,0.3125,15.50943396,2.302521008,0.014005602,5,68,0,0,0,0,0,0,0,20,21,26,76,228,4.52,42,129,7.07,4.34,1.33
Tandon Doss,2011,63,706,7,311,512,3446,25,0.202572347,0.204875218,0.28,11.20634921,1.37890625,0.013671875,42,290,2,11,93,0,66,1549,0,20,21,123,74,201,4.62,33.5,116,6.91,4.22,1.33
Sammie Stroughter,2009,70,1040,7,270,447,3237,25,0.259259259,0.321285141,0.28,14.85714286,2.326621924,0.015659955,11,64,0,127,1235,3,18,377,0,20,22,233,69,189,4.59,30,110,7.03,4.28,1.25
Kris Durham,2011,32,659,3,218,359,3151,25,0.146788991,0.209139956,0.12,20.59375,1.835654596,0.008356546,0,0,0,0,0,0,0,0,0,22,22,107,77,216,4.46,36,121,6.89,4.41,1.25
